seed,firm_id,step,price,wage,employees,inventory,production,capital,profit,revenue,costs,sales,quality,marketing,bankrupt
1002324,firm_0,67,60.81,150.86,68,0,784,2450093.67,44378.24,47675.04,3296.8,784,1.95,0.1,False
1002324,firm_0,68,57.77,158.4,69,0,795,2481250.97,42586.9,45927.15,3340.25,795,1.95,0.1,False
1002324,firm_0,69,60.66,174.24,69,0,795,2514112.86,44884.45,48224.7,3340.25,795,1.95,0.1,False
1002324,firm_0,70,66.73,165.53,70,49,806,2548911.67,46885.91,50514.61,3628.7,757,1.95,0.1,False
1002324,firm_0,71,73.4,173.81,70,0,806,2595777.97,59333.0,62757.0,3424.0,855,2.0,0.2,False
1002324,firm_0,72,69.73,182.5,69,0,795,2635240.82,52055.35,55435.35,3380.0,795,2.0,0.1,False
1002324,firm_0,73,66.24,191.62,70,0,806,2671052.56,49925.14,53389.44,3464.3,806,2.05,0.1,False
1002324,firm_0,74,72.86,201.2,71,53,818,2707986.46,51919.1,55737.9,3818.8,765,2.1,0.1,False
1002324,firm_0,75,69.22,211.26,72,0,829,2749728.88,57453.14,61052.04,3598.9,882,2.1,0.1,False
1002324,firm_0,76,62.3,232.39,73,0,840,2780952.41,48688.0,52332.0,3644.0,840,2.1,0.1,False
1002324,firm_0,77,62.3,232.39,72,0,829,2812268.13,48047.8,51646.7,3598.9,829,2.1,0.1,False
1002324,firm_0,78,56.07,244.01,73,0,840,2837168.2,43412.8,47098.8,3686.0,840,2.15,0.1,False
1002324,firm_0,79,58.87,219.61,74,0,851,2866541.23,46324.17,50098.37,3774.2,851,2.2,0.1,False
1002324,firm_0,80,58.87,197.65,74,0,851,2898239.3,46324.17,50098.37,3774.2,851,2.2,0.1,False
1002324,firm_0,81,55.93,177.89,75,0,863,2928840.54,44442.99,48267.59,3824.6,863,2.2,0.1,False
1002324,firm_0,82,53.13,160.1,76,0,868,2958444.18,42271.24,46116.84,3845.6,868,2.2,0.1,False
1002324,firm_0,83,53.13,168.1,77,0,885,2988103.53,43103.05,47020.05,3917.0,885,2.2,0.1,False
1002324,firm_0,84,47.82,176.5,78,0,897,3012763.67,38927.14,42894.54,3967.4,897,2.2,0.1,False
1002324,firm_0,85,52.6,158.85,79,0,908,3043461.72,43747.2,47760.8,4013.6,908,2.2,0.1,False
1002324,firm_0,86,55.23,142.96,79,0,901,3077700.86,45732.98,49762.23,4029.25,901,2.25,0.1,False
1002324,firm_0,87,52.47,150.11,80,0,912,3108968.7,43776.64,47852.64,4076.0,912,2.25,0.1,False
1002324,firm_0,88,49.85,135.1,81,0,923,3139168.25,41842.65,46011.55,4168.9,923,2.3,0.1,False
1002324,firm_0,89,47.36,141.85,81,0,923,3167222.78,39544.38,43713.28,4168.9,923,2.3,0.1,False
1002324,firm_0,90,49.73,156.04,82,0,934,3196159.12,42231.62,46447.82,4216.2,934,2.3,0.1,False
1002324,firm_0,91,47.24,171.64,83,0,945,3221544.05,40331.05,44641.8,4310.75,945,2.35,0.1,False
1002324,firm_0,92,44.88,180.22,83,0,945,3244686.64,38100.85,42411.6,4310.75,945,2.35,0.1,False
1002324,firm_0,93,40.39,189.23,84,0,956,3262297.76,34206.44,38612.84,4406.4,956,2.4,0.1,False
1002324,firm_0,94,38.37,198.69,85,0,968,3277592.07,32682.96,37142.16,4459.2,968,2.4,0.1,False
1002324,firm_0,95,36.45,208.62,85,0,967,3290403.37,30744.0,35247.15,4503.15,967,2.45,0.1,False
1002324,firm_0,96,36.45,208.62,85,0,967,3303066.32,30695.65,35247.15,4551.5,967,2.5,0.2,False
1002324,firm_0,97,34.63,219.05,86,0,978,3312746.26,29218.24,33868.14,4649.9,978,2.55,0.1,False
1002324,firm_0,98,32.9,219.05,87,0,998,3321282.21,28093.3,32834.2,4740.9,998,2.55,0.1,False
1002324,firm_0,99,31.25,219.05,87,0,997,3328294.91,26370.05,31156.25,4786.2,997,2.6,0.2,False
1002324,firm_0,100,32.81,240.96,88,0,1009,3334854.32,28263.89,33105.29,4841.4,1009,2.6,0.1,False
1002324,firm_1,1,48.22,38.13,21,0,242,120076.13,10881.18,11669.24,788.06,242,0.43,0.35,False
1002324,firm_1,2,53.04,34.32,22,0,252,131374.81,12553.72,13366.08,812.36,252,0.43,0.25,False
1002324,firm_1,3,55.69,36.04,23,0,263,143640.12,13794.23,14646.47,852.24,263,0.48,0.25,False
1002324,firm_1,4,52.91,32.44,24,0,274,155765.68,13604.12,14497.34,893.22,274,0.53,0.25,False
1002324,firm_1,5,58.2,34.06,25,0,285,169865.88,15651.7,16587.0,935.3,285,0.58,0.15,False
1002324,firm_1,6,64.02,32.36,26,0,296,186410.76,17986.24,18949.92,963.68,296,0.58,0.25,False
1002324,firm_1,7,70.42,32.36,27,0,307,205563.92,20626.88,21618.94,992.06,307,0.58,0.35,False
1002324,firm_1,8,77.46,30.74,28,0,319,227789.92,23686.72,24709.74,1023.02,319,0.58,0.45,False
1002324,firm_1,9,85.21,29.2,29,0,330,253411.02,27067.9,28119.3,1051.4,330,0.58,0.55,False
1002324,firm_1,10,93.73,27.74,30,0,339,282678.67,30699.85,31774.47,1074.62,339,0.58,0.65,False
1002324,firm_1,11,103.1,26.35,31,0,350,316243.82,34982.0,36085.0,1103.0,350,0.58,0.75,False
